Month,Avg_sunspot_count
07-01-1813,31
08-01-1813,14
09-01-1813,26
10-01-1813,46
11-01-1813,28
12-01-1813,24
01-01-1814,37
02-01-1814,20
03-01-1814,10
04-01-1814,40
05-01-1814,10
06-01-1814,25
07-01-1814,31
08-01-1814,4
09-01-1814,14
10-01-1814,32
11-01-1814,24
12-01-1814,34
01-01-1815,32
02-01-1815,54
03-01-1815,44
04-01-1815,53
05-01-1815,16
06-01-1815,93
07-01-1815,59
08-01-1815,79
09-01-1815,53
10-01-1815,56
11-01-1815,62
12-01-1815,108
01-01-1816,44
02-01-1816,115
03-01-1816,123
04-01-1816,98
05-01-1816,74
06-01-1816,73
07-01-1816,65
08-01-1816,39
09-01-1816,80
10-01-1816,94
11-01-1816,64
12-01-1816,50
01-01-1817,61
02-01-1817,97
03-01-1817,160
04-01-1817,44
05-01-1817,35
06-01-1817,67
07-01-1817,83
08-01-1817,75
09-01-1817,61
10-01-1817,43
11-01-1817,48
12-01-1817,47
01-01-1818,58
02-01-1818,37
03-01-1818,42
04-01-1818,58
05-01-1818,89
06-01-1818,61
07-01-1818,47
08-01-1818,53
09-01-1818,43
10-01-1818,53
11-01-1818,18
12-01-1818,43
01-01-1819,55
02-01-1819,35
03-01-1819,6
04-01-1819,34
05-01-1819,33
06-01-1819,58
07-01-1819,53
08-01-1819,44
09-01-1819,25
10-01-1819,46
11-01-1819,42
12-01-1819,51
01-01-1820,32
02-01-1820,44
03-01-1820,8
04-01-1820,32
05-01-1820,49
06-01-1820,18
07-01-1820,34
08-01-1820,43
09-01-1820,9
10-01-1820,15
11-01-1820,13
12-01-1820,15
01-01-1821,36
02-01-1821,7
03-01-1821,10
04-01-1821,15
05-01-1821,3
06-01-1821,3
07-01-1821,4
08-01-1821,8
09-01-1821,7
10-01-1821,31
11-01-1821,7
12-01-1821,0
01-01-1822,0
02-01-1822,2
03-01-1822,27
04-01-1822,22
05-01-1822,2
06-01-1822,9
07-01-1822,13
08-01-1822,3
09-01-1822,0
10-01-1822,1
11-01-1822,0
12-01-1822,0
01-01-1823,0
02-01-1823,0
03-01-1823,1
04-01-1823,0
05-01-1823,0
06-01-1823,0
07-01-1823,1
08-01-1823,0
09-01-1823,0
10-01-1823,0
11-01-1823,0
12-01-1823,34
01-01-1824,36
02-01-1824,18
03-01-1824,0
04-01-1824,32
05-01-1824,5
06-01-1824,0
07-01-1824,0
08-01-1824,2
09-01-1824,34
10-01-1824,42
11-01-1824,0
12-01-1824,1
01-01-1825,8
02-01-1825,26
03-01-1825,37
04-01-1825,6
05-01-1825,26
06-01-1825,26
07-01-1825,52
08-01-1825,43
09-01-1825,26
10-01-1825,26
11-01-1825,20
12-01-1825,37
01-01-1826,29
02-01-1826,30
03-01-1826,61
04-01-1826,40
05-01-1826,54
06-01-1826,62
07-01-1826,88
08-01-1826,66
09-01-1826,32
10-01-1826,84
11-01-1826,66
12-01-1826,114
01-01-1827,58
02-01-1827,79
03-01-1827,96
04-01-1827,77
05-01-1827,94
06-01-1827,94
07-01-1827,70
08-01-1827,89
09-01-1827,83
10-01-1827,94
11-01-1827,80
12-01-1827,77
01-01-1828,88
02-01-1828,107
03-01-1828,109
04-01-1828,102
05-01-1828,149
06-01-1828,163
07-01-1828,90
08-01-1828,127
09-01-1828,84
10-01-1828,91
11-01-1828,95
12-01-1828,78
01-01-1829,72
02-01-1829,82
03-01-1829,121
04-01-1829,158
05-01-1829,112
06-01-1829,123
07-01-1829,152
08-01-1829,129
09-01-1829,88
10-01-1829,95
11-01-1829,113
12-01-1829,94
01-01-1830,87
02-01-1830,120
03-01-1830,141
04-01-1830,177
05-01-1830,111
06-01-1830,108
07-01-1830,73
08-01-1830,85
09-01-1830,103
10-01-1830,141
11-01-1830,135
12-01-1830,137
01-01-1831,79
02-01-1831,84
03-01-1831,156
04-01-1831,91
05-01-1831,63
06-01-1831,56
07-01-1831,75
08-01-1831,92
09-01-1831,63
10-01-1831,77
11-01-1831,73
12-01-1831,48
01-01-1832,52
02-01-1832,93
03-01-1832,92
04-01-1832,45
05-01-1832,69
06-01-1832,45
07-01-1832,23
08-01-1832,15
09-01-1832,14
10-01-1832,35
11-01-1832,24
12-01-1832,46
01-01-1833,19
02-01-1833,25
03-01-1833,20
04-01-1833,5
05-01-1833,22
06-01-1833,2
07-01-1833,12
08-01-1833,10
09-01-1833,19
10-01-1833,13
11-01-1833,10
12-01-1833,17
01-01-1834,8
02-01-1834,30
03-01-1834,7
04-01-1834,2
05-01-1834,15
06-01-1834,13
07-01-1834,14
08-01-1834,7
09-01-1834,19
10-01-1834,41
11-01-1834,51
12-01-1834,58
01-01-1835,12
02-01-1835,41
03-01-1835,33
04-01-1835,102
05-01-1835,73
06-01-1835,55
07-01-1835,100
08-01-1835,99
09-01-1835,168
10-01-1835,159
11-01-1835,167
12-01-1835,129
01-01-1836,148
02-01-1836,179
03-01-1836,164
04-01-1836,238
05-01-1836,186
06-01-1836,208
07-01-1836,195
08-01-1836,180
09-01-1836,159
10-01-1836,229
11-01-1836,202
12-01-1836,344
01-01-1837,313
02-01-1837,293
03-01-1837,224
04-01-1837,230
05-01-1837,186
06-01-1837,263
07-01-1837,271
08-01-1837,224
09-01-1837,160
10-01-1837,206
11-01-1837,178
12-01-1837,216
01-01-1838,242
02-01-1838,141
03-01-1838,235
04-01-1838,211
05-01-1838,229
06-01-1838,158
07-01-1838,180
08-01-1838,131
09-01-1838,123
10-01-1838,152
11-01-1838,129
12-01-1838,133
01-01-1839,176
02-01-1839,171
03-01-1839,130
04-01-1839,103
05-01-1839,90
06-01-1839,91
07-01-1839,141
08-01-1839,219
09-01-1839,221
10-01-1839,152
11-01-1839,115
12-01-1839,106
01-01-1840,135
02-01-1840,146
03-01-1840,113
04-01-1840,110
05-01-1840,115
06-01-1840,81
07-01-1840,101
08-01-1840,96
09-01-1840,123
10-01-1840,92
11-01-1840,90
12-01-1840,90
01-01-1841,40
02-01-1841,50
03-01-1841,50
04-01-1841,67
05-01-1841,112
06-01-1841,93
07-01-1841,51
08-01-1841,65
09-01-1841,61
10-01-1841,47
11-01-1841,33
12-01-1841,65
01-01-1842,34
02-01-1842,37
03-01-1842,36
04-01-1842,45
05-01-1842,41
06-01-1842,34
07-01-1842,21
08-01-1842,44
09-01-1842,31
10-01-1842,64
11-01-1842,68
12-01-1842,29
01-01-1843,22
02-01-1843,6
03-01-1843,14
04-01-1843,16
05-01-1843,35
06-01-1843,18
07-01-1843,16
08-01-1843,20
09-01-1843,7
10-01-1843,9
11-01-1843,32
12-01-1843,21
01-01-1844,16
02-01-1844,25
03-01-1844,23
04-01-1844,35
05-01-1844,19
06-01-1844,6
07-01-1844,35
08-01-1844,40
09-01-1844,12
10-01-1844,36
11-01-1844,18
12-01-1844,36
01-01-1845,43
02-01-1845,73
03-01-1845,72
04-01-1845,95
05-01-1845,80
06-01-1845,52
07-01-1845,51
08-01-1845,54
09-01-1845,49
10-01-1845,68
11-01-1845,66
12-01-1845,100
01-01-1846,65
02-01-1846,85
03-01-1846,107
04-01-1846,116
05-01-1846,100
06-01-1846,108
07-01-1846,78
08-01-1846,91
09-01-1846,179
10-01-1846,93
11-01-1846,101
12-01-1846,109
01-01-1847,104
02-01-1847,75
03-01-1847,143
04-01-1847,75
05-01-1847,126
06-01-1847,142
07-01-1847,87
08-01-1847,234
09-01-1847,268
10-01-1847,301
11-01-1847,232
12-01-1847,183
01-01-1848,265
02-01-1848,186
03-01-1848,181
04-01-1848,179
05-01-1848,171
06-01-1848,215
07-01-1848,232
08-01-1848,221
09-01-1848,167
10-01-1848,221
11-01-1848,191
12-01-1848,266
01-01-1849,298
02-01-1849,250
03-01-1849,183
04-01-1849,195
05-01-1849,153
06-01-1849,154
07-01-1849,148
08-01-1849,129
09-01-1849,178
10-01-1849,136
11-01-1849,188
12-01-1849,184
01-01-1850,148
02-01-1850,170
03-01-1850,157
04-01-1850,84
05-01-1850,117
06-01-1850,133
07-01-1850,74
08-01-1850,117
09-01-1850,164
10-01-1850,135
11-01-1850,104
12-01-1850,116
01-01-1851,144
02-01-1851,200
03-01-1851,123
04-01-1851,107
05-01-1851,119
06-01-1851,120
07-01-1851,69
08-01-1851,109
09-01-1851,129
10-01-1851,119
11-01-1851,97
12-01-1851,136
01-01-1852,130
02-01-1852,126
03-01-1852,116
04-01-1852,124
05-01-1852,104
06-01-1852,89
07-01-1852,80
08-01-1852,75
09-01-1852,71
10-01-1852,128
11-01-1852,103
12-01-1852,86
01-01-1853,78
02-01-1853,82
03-01-1853,72
04-01-1853,90
05-01-1853,66
06-01-1853,76
07-01-1853,87
08-01-1853,96
09-01-1853,64
10-01-1853,81
11-01-1853,55
12-01-1853,45
01-01-1854,29
02-01-1854,38
03-01-1854,39
04-01-1854,50
05-01-1854,46
06-01-1854,40
07-01-1854,36
08-01-1854,30
09-01-1854,43
10-01-1854,24
11-01-1854,54
12-01-1854,41
01-01-1855,23
02-01-1855,22
03-01-1855,33
04-01-1855,8
05-01-1855,17
06-01-1855,10
07-01-1855,1
08-01-1855,6
09-01-1855,0
10-01-1855,18
11-01-1855,8
12-01-1855,6
01-01-1856,1
02-01-1856,9
03-01-1856,1
04-01-1856,12
05-01-1856,0
06-01-1856,10
07-01-1856,9
08-01-1856,11
09-01-1856,8
10-01-1856,9
11-01-1856,15
12-01-1856,14
01-01-1857,26
02-01-1857,14
03-01-1857,10
04-01-1857,21
05-01-1857,54
06-01-1857,31
07-01-1857,42
08-01-1857,32
09-01-1857,81
10-01-1857,77
11-01-1857,60
12-01-1857,71
01-01-1858,74
02-01-1858,66
03-01-1858,109
04-01-1858,73
05-01-1858,79
06-01-1858,85
07-01-1858,108
08-01-1858,105
09-01-1858,152
10-01-1858,173
11-01-1858,99
12-01-1858,127
01-01-1859,159
02-01-1859,166
03-01-1859,172
04-01-1859,163
05-01-1859,173
06-01-1859,165
07-01-1859,181
08-01-1859,203
09-01-1859,201
10-01-1859,218
11-01-1859,185
12-01-1859,154
01-01-1860,157
02-01-1860,168
03-01-1860,188
04-01-1860,136
05-01-1860,204
06-01-1860,206
07-01-1860,222
08-01-1860,191
09-01-1860,175
10-01-1860,171
11-01-1860,186
12-01-1860,182
01-01-1861,119
02-01-1861,148
03-01-1861,192
04-01-1861,187
05-01-1861,108
06-01-1861,168
07-01-1861,148
08-01-1861,157
09-01-1861,152
10-01-1861,128
11-01-1861,102
12-01-1861,153
01-01-1862,120
02-01-1862,122
03-01-1862,83
04-01-1862,102
05-01-1862,122
06-01-1862,160
07-01-1862,140
08-01-1862,119
09-01-1862,126
10-01-1862,80
11-01-1862,96
12-01-1862,78
01-01-1863,92
02-01-1863,108
03-01-1863,126
04-01-1863,77
05-01-1863,102
06-01-1863,78
07-01-1863,62
08-01-1863,91
09-01-1863,42
10-01-1863,76
11-01-1863,72
12-01-1863,78
01-01-1864,110
02-01-1864,90
03-01-1864,126
04-01-1864,68
05-01-1864,77
06-01-1864,110
07-01-1864,104
08-01-1864,104
09-01-1864,54
10-01-1864,64
11-01-1864,109
12-01-1864,54
01-01-1865,93
02-01-1865,75
03-01-1865,75
04-01-1865,56
05-01-1865,66
06-01-1865,64
07-01-1865,51
08-01-1865,72
09-01-1865,41
10-01-1865,33
11-01-1865,47
12-01-1865,24
01-01-1866,60
02-01-1866,73
03-01-1866,47
04-01-1866,34
05-01-1866,25
06-01-1866,31
07-01-1866,18
08-01-1866,24
09-01-1866,14
10-01-1866,27
11-01-1866,17
12-01-1866,3
01-01-1867,0
02-01-1867,1
03-01-1867,17
04-01-1867,10
05-01-1867,6
06-01-1867,3
07-01-1867,10
08-01-1867,9
09-01-1867,19
10-01-1867,26
11-01-1867,18
12-01-1867,48
01-01-1868,26
02-01-1868,26
03-01-1868,44
04-01-1868,61
05-01-1868,45
06-01-1868,52
07-01-1868,48
08-01-1868,57
09-01-1868,79
10-01-1868,103
11-01-1868,99
12-01-1868,113
01-01-1869,102
02-01-1869,100
03-01-1869,88
04-01-1869,68
05-01-1869,173
06-01-1869,181
07-01-1869,99
08-01-1869,133
09-01-1869,135
10-01-1869,99
11-01-1869,130
12-01-1869,174
01-01-1870,129
02-01-1870,192
03-01-1870,263
04-01-1870,267
05-01-1870,294
06-01-1870,226
07-01-1870,221
08-01-1870,257
09-01-1870,227
10-01-1870,244
11-01-1870,246
12-01-1870,217
01-01-1871,147
02-01-1871,209
03-01-1871,239
04-01-1871,271
05-01-1871,243
06-01-1871,153
07-01-1871,172
08-01-1871,184
09-01-1871,134
10-01-1871,149
11-01-1871,176
12-01-1871,151
01-01-1872,133
02-01-1872,200
03-01-1872,148
04-01-1872,170
05-01-1872,180
06-01-1872,183
07-01-1872,176
08-01-1872,155
09-01-1872,191
10-01-1872,171
11-01-1872,187
12-01-1872,140
01-01-1873,145
02-01-1873,178
03-01-1873,164
04-01-1873,127
05-01-1873,80
06-01-1873,75
07-01-1873,112
08-01-1873,114
09-01-1873,79
10-01-1873,79
11-01-1873,93
12-01-1873,82
01-01-1874,101
02-01-1874,107
03-01-1874,78
04-01-1874,54
05-01-1874,75
06-01-1874,64
07-01-1874,113
08-01-1874,102
09-01-1874,47
10-01-1874,57
11-01-1874,48
12-01-1874,49
01-01-1875,24
02-01-1875,36
03-01-1875,56
04-01-1875,49
05-01-1875,19
06-01-1875,40
07-01-1875,21
08-01-1875,24
09-01-1875,4
10-01-1875,21
11-01-1875,30
12-01-1875,17
01-01-1876,24
02-01-1876,25
03-01-1876,51
04-01-1876,4
05-01-1876,9
06-01-1876,3
07-01-1876,26
08-01-1876,15
09-01-1876,17
10-01-1876,24
11-01-1876,17
12-01-1876,14
01-01-1877,41
02-01-1877,15
03-01-1877,20
04-01-1877,26
05-01-1877,36
06-01-1877,24
07-01-1877,10
08-01-1877,11
09-01-1877,28
10-01-1877,11
11-01-1877,24
12-01-1877,4
01-01-1878,6
02-01-1878,11
03-01-1878,13
04-01-1878,0
